Compound,Concentration_uM,Replicate_1,Replicate_2,Replicate_3,Replicate_4,Mean,SEM
IK01,200,73.44338257,76.91862149,96.26411816,118.8531712,91.36982334,9.046694986
IK01,100,77.26614538,78.07703446,87.46017955,123.6026643,91.60150594,9.452640553
IK01,50,42.74543875,82.13147987,109.4700261,108.659137,85.75152042,13.57837012
IK01,25,88.61859253,71.24239791,101.2452939,95.91659427,89.25571966,5.662391464
IK01,12.5,88.73443383,76.339415,112.2502172,101.4769765,94.70026064,6.739049432
IK01,6.25,108.659137,60.23747466,113.2927889,110.0492326,98.05965827,10.9506412
IK01,3.125,89.66116421,101.7086591,113.2927889,117.1155517,105.444541,5.367024791
IK01,1.5625,99.50767449,77.15030408,123.7185056,113.8719954,103.5621199,8.755698005
IK02,200,91.12149533,97.6635514,87.61682243,81.42523364,89.4567757,2.936979259
IK02,100,67.1728972,75.46728972,92.87383178,87.61682243,80.78271028,5.039723553
IK02,50,60.74766355,69.74299065,113.317757,108.411215,88.05490654,11.54773433
IK02,25,83.76168224,88.90186916,102.6869159,123.7149533,99.76635514,7.730829668
IK02,12.5,80.02336449,86.79906542,95.44392523,109.9299065,93.04906542,5.586980039
IK02,6.25,82.71028037,97.07943925,84.57943925,106.1915888,92.64018692,4.788829129
IK02,3.125,104.2056075,96.37850467,95.91121495,103.5046729,100,1.933314155
IK02,1.5625,99.29906542,110.864486,96.61214953,99.29906542,101.5186916,2.753083594
IK03,200,52.92131533,64.15149736,64.88549618,74.35408103,64.07809748,3.060104397
IK03,100,40.14973576,78.31767469,94.17204932,77.14327657,72.44568409,8.144982267
IK03,50,66.42689372,61.36230182,102.7598356,51.08631826,70.40883735,8.218888716
IK03,25,74.35408103,97.47504404,95.49324721,83.67586612,87.7495596,4.055150542
IK03,12.5,91.23605402,74.35408103,93.58485026,69.4362889,82.15281856,4.547163897
IK03,6.25,105.3288315,104.4480329,103.5672343,102.7598356,104.0259836,0.391490506
IK03,3.125,109.0722255,108.2648268,106.2096301,105.3288315,107.2188784,6.733377343
IK03,1.5625,101.9524369,108.0446271,108.0446271,105.3288315,105.8426307,1.156536215
